brand,size,color,upc,sku
Veevus,Power Thread 140D,Fluorescent Fire Orange,762820158971,939-158971
Veevus,Power Thread 140D,Fluorescent Hot Pink,762820158940,939-158964
Veevus,Power Thread 140D,Fluorescent Orange,762820158957,939-158957
Veevus,Power Thread 140D,Gray,762820158926,939-158926
Veevus,Power Thread 140D,Olive,762820158902,939-158902
Veevus,Power Thread 140D,Red,762820158919,939-158919
Veevus,Power Thread 140D,White,762820158896,939-158896
Veevus,Power Thread 240D,Black,762820158988,939-15898
Veevus,Power Thread 240D,Brown,762820159039,939-15903
Veevus,Power Thread 240D,Fluorescent Chartreuse,762820159060,939-15904
Veevus,Power Thread 240D,Fluorescent Fire Orange,762820159077,939-15907
Veevus,Power Thread 240D,Fluorescent Hot Pink,762820159046,939-15906
Veevus,Power Thread 240D,Fluorescent Orange,762820159053,939-15905
Veevus,Power Thread 240D,Gray,762820159022,939-15902
Veevus,Power Thread 240D,Olive,762820159008,939-15900
Veevus,Power Thread 240D,Red,762820159015,939-15901
Veevus,Power Thread 240D,White,762820158995,939-15899
Veevus,GSP 30D,Black,762820198441,939-198441
Veevus,GSP 30D,White,762820149160,939-14916
Veevus,GSP 50D,Black,762820161148,939-16114
Veevus,GSP 50D,White,762820156908,939-15690
Veevus,GSP 100D,Black,762820148781,939-14878
Veevus,GSP 100D,White,762820148811,939-14881
Veevus,GSP 150D,Black,762820148842,939-14884
Veevus,GSP 150D,White,762820148873,939-14887
Veevus,GSP 200D,Black,762820148903,939-14890
Veevus,GSP 200D,White,762820148934,939-14893
Veevus,Body Quill,Black,762820158049,939-158049
Veevus,Body Quill,Brown,762820158117,939-158117
Veevus,Body Quill,Claret,762820158094,939-158094
Veevus,Body Quill,Fl. Chartreuse,762820160752,939-160752
Veevus,Body Quill,Fl. Hot Pink,762820158155,939-158155
Veevus,Body Quill,Fl. Orange,762820158179,939-158179
Veevus,Body Quill,Fl. Yellow,762820158186,939-158186
Veevus,Body Quill,Fuchsia,762820158131,939-158131
Veevus,Body Quill,Golden,762820158070,939-158070
Veevus,Body Quill,Golden Brown,762820158162,939-158162
Veevus,Body Quill,Hot Orange,762820158100,939-158100
Veevus,Body Quill,Lt. Olive,762820158063,939-158063
Veevus,Body Quill,Olive,762820158087,939-158087
Veevus,Body Quill,Pale Pink,762820158056,939-158056
Veevus,Body Quill,Tan,762820158148,939-158148
Veevus,Body Quill,Yellow,762820158124,939-158124
