zip,tier
04492,REMOTE_US48
04493,DAS_EXTENDED
04495,REMOTE_US48
04496,DAS
04497,DAS_EXTENDED
04530,DAS
04535,DAS_EXTENDED
04537,DAS
04538,DAS
04539,DAS_EXTENDED
04541,DAS
04543,DAS
04544,DAS_EXTENDED
04547,DAS_EXTENDED
04548,REMOTE_US48
04551,DAS_EXTENDED
04552,DAS_EXTENDED
04553,DAS
04554,REMOTE_US48
04555,DAS_EXTENDED
04556,DAS_EXTENDED
04558,DAS_EXTENDED
04562,DAS_EXTENDED
04563,DAS_EXTENDED
04564,DAS_EXTENDED
04565,DAS
04567,DAS_EXTENDED
04568,DAS_EXTENDED
04570,DAS_EXTENDED
04571,DAS_EXTENDED
04572,DAS_EXTENDED
04573,DAS
04574,REMOTE_US48
04575,DAS_EXTENDED
04576,DAS_EXTENDED
04578,DAS_EXTENDED
04579,DAS
04605,DAS_EXTENDED
04606,REMOTE_US48
04607,DAS_EXTENDED
04609,DAS
04611,DAS_EXTENDED
04612,DAS_EXTENDED
04613,DAS_EXTENDED
04614,DAS_EXTENDED
04615,DAS_EXTENDED
04616,DAS_EXTENDED
04617,DAS_EXTENDED
04619,DAS_EXTENDED
04622,DAS_EXTENDED
04623,DAS_EXTENDED
04624,DAS_EXTENDED
04625,REMOTE_US48
04626,DAS_EXTENDED
04627,DAS_EXTENDED
04628,DAS_EXTENDED
04629,DAS_EXTENDED
04630,REMOTE_US48
04631,DAS_EXTENDED
04634,DAS_EXTENDED
04635,DAS_EXTENDED
04637,DAS
04640,DAS_EXTENDED
04642,DAS_EXTENDED
04643,DAS_EXTENDED
04644,DAS_EXTENDED
04645,REMOTE_US48
04646,DAS_EXTENDED
04648,DAS_EXTENDED
04649,DAS_EXTENDED
04650,DAS_EXTENDED
04652,DAS_EXTENDED
04653,DAS_EXTENDED
04654,DAS_EXTENDED
04655,DAS_EXTENDED
04656,DAS_EXTENDED
04657,DAS_EXTENDED
04658,DAS_EXTENDED
04660,DAS_EXTENDED
04662,DAS
04664,DAS_EXTENDED
04665,DAS
04666,DAS_EXTENDED
04667,DAS_EXTENDED
04668,DAS_EXTENDED
04669,DAS
04671,DAS_EXTENDED
04672,DAS
04673,DAS_EXTENDED
04674,DAS_EXTENDED
04675,DAS
04676,DAS_EXTENDED
04677,DAS_EXTENDED
04679,DAS_EXTENDED
04680,DAS_EXTENDED
04681,DAS_EXTENDED
04683,DAS_EXTENDED
04684,DAS_EXTENDED
04685,REMOTE_US48
04686,DAS_EXTENDED
04690,DAS
04691,DAS_EXTENDED
04693,DAS_EXTENDED
04694,DAS_EXTENDED
04730,DAS_EXTENDED
04732,DAS_EXTENDED
04733,DAS_EXTENDED
04734,DAS_EXTENDED
04735,DAS_EXTENDED
04736,DAS_EXTENDED
04737,DAS_EXTENDED
04738,DAS
04739,DAS_EXTENDED
04740,DAS
04741,DAS_EXTENDED
04742,DAS
04743,REMOTE_US48
04744,DAS_EXTENDED
04745,DAS_EXTENDED
04746,REMOTE_US48
04747,DAS_EXTENDED
04750,DAS_EXTENDED
04751,DAS
04756,DAS_EXTENDED
04757,DAS_EXTENDED
04758,DAS_EXTENDED
04759,DAS_EXTENDED
04760,DAS_EXTENDED
04761,DAS_EXTENDED
04762,REMOTE_US48
04763,DAS_EXTENDED
04764,REMOTE_US48
04765,DAS_EXTENDED
04766,DAS_EXTENDED
04768,DAS_EXTENDED
04772,DAS_EXTENDED
04773,DAS_EXTENDED
04774,DAS_EXTENDED
04776,DAS_EXTENDED
04777,DAS_EXTENDED
04779,DAS_EXTENDED
04780,DAS_EXTENDED
04781,DAS_EXTENDED
04783,REMOTE_US48
